,Name,categories,Address,format_address,reviews,rating,city,country,lat,lng,price,postal,state
0,Vape312,Vape Shops,3221 N Sheffield Ave,3221 N Sheffield Ave,70.0,5.0,Chicago,US,41.9404338044341,-87.6539927,$$,60657,IL
1,Level Vape,Vape Shops,1747 W North Ave,1747 W North Ave,57.0,5.0,Chicago,US,41.910339,-87.671989,$$,60622,IL
2,CBD Kratom,Vitamins & Supplements,2048 N Damen Ave,2048 N Damen Ave,126.0,4.5,Chicago,US,41.91915,-87.67794,$$,60647,IL
3,Smoque Vapours,Vape Shops,537 S Dearborn,537 S Dearborn,100.0,4.5,Chicago,US,41.8749407,-87.6290113,$$,60605,IL
4,Vape312 River West,Vape Shops,728 W Grand Ave,728 W Grand Ave,40.0,5.0,Chicago,US,41.8912228841978,-87.6467242907079,$,60654,IL
5,Saint Lucia's Smoke Shop,Tobacco Shops,2075 N Western Ave,2075 N Western Ave,35.0,5.0,Chicago,US,41.91973,-87.68715,$$,60647,IL
6,Roots Smoke & Vapor Shop,Tobacco Shops,4006 N Sheridan Rd,4006 N Sheridan Rd,62.0,4.5,Chicago,US,41.9547823,-87.6546952,$$,60613,IL
7,Cloud Vapor Lounge,Vape Shops,2497 N Milwaukee Ave,2497 N Milwaukee Ave,52.0,4.5,Chicago,US,41.926923,-87.703348,$$,60647,IL
8,Vape Daze,Vape Shops,2817 W Belden Ave,2817 W Belden Ave,30.0,5.0,Chicago,US,41.9231451,-87.6985276,$$,60647,IL
9,CBD Kratom,Vitamins & Supplements,5303 N Clark Street,5303 N Clark Street,62.0,4.5,Chicago,US,41.978135,-87.667958,$$,60640,IL
10,Roots Smoke & Vapor Shop,Vape Shops,2626 N Milwaukee Ave,2626 N Milwaukee Ave,36.0,4.5,Chicago,US,41.92933,-87.70837,$$,60647,IL
11,CBD Kratom,Vitamins & Supplements,3434 N Halsted,3434 N Halsted,36.0,4.5,Chicago,US,41.94471,-87.64973,$$,60657,IL
12,Norwood Royal Cigars,Tobacco Shops,6046 N Northwest Hwy,6046 N Northwest Hwy,20.0,5.0,Chicago,US,41.9911328276874,-87.7969954898742,$$,60631,IL
13,Chicago Vapor Zone,Vape Shops,6238 North Broadway St,6238 North Broadway St,24.0,4.5,Chicago,US,41.9956998,-87.6607304,$$,60660,IL
14,Z Smoke Shop,Tobacco Shops,3129 W Armitage,3129 W Armitage,13.0,4.5,Chicago,US,41.9171562194824,-87.7065048217773,$$,60647,IL
15,Pipes Chicago,Tobacco Shops,6029 N Lincoln Ave,6029 N Lincoln Ave,21.0,4.0,Chicago,US,41.9914937,-87.7090491,$$,60659,IL
16,Sweet Tooth Smoke Shop,Tobacco Shops,2030 W Chicago Ave,2030 W Chicago Ave,16.0,4.0,Chicago,US,41.896169,-87.678273,$$,60622,IL
17,Smoke and Vape,Vape Shops,3316 W Lawrence Ave,3316 W Lawrence Ave,18.0,4.0,Chicago,US,41.9685361668968,-87.7117931920654,$$,60625,IL
18,Blaze Chicago,Head Shops,1101 N Western Ave,1101 N Western Ave,6.0,5.0,Chicago,US,41.90137,-87.68665,$$,60622,IL
19,Up Smoke Shop,Tobacco Shops,2442 N Milwaukee Ave,2442 N Milwaukee Ave,11.0,4.5,Chicago,US,41.9256176,-87.7020544,$,60647,IL
20,Big Lou's Tobacco Shop,Tobacco Shops,2617 W Lawrence Ave,2617 W Lawrence Ave,9.0,4.5,Chicago,US,41.9683113,-87.6945038,$,60625,IL
21,Lakeview Smoke & Vape,Vape Shops,3149 North Broadway,3149 North Broadway,14.0,4.0,Chicago,US,41.9389805,-87.6441676,$$,60657,IL
22,Around the World Tobacco,Tobacco Shops,1044 W Belmont Ave,1044 W Belmont Ave,19.0,3.5,Chicago,US,41.94013,-87.65588,$$$,60657,IL
23,Halsted Smoke Shop,Head Shops,3448 N Halsted St,3448 N Halsted St,10.0,4.0,Chicago,US,41.9447983056307,-87.6494628936052,$$$$,60657,IL
24,Kazzaz Smoke Shop,Tobacco Shops,6355 W Montrose Ave,6355 W Montrose Ave,13.0,4.0,Chicago,US,41.959963,-87.786449,$,60634,IL
25,Smoke Dreams,Tobacco Shops,4560 N Broadway,4560 N Broadway,29.0,3.0,Chicago,US,41.9650114070692,-87.6574525091926,$$$,60640,IL
26,Smoke Shop Pipes and Stuff X,Tobacco Shops,1920 W North Ave,1920 W North Ave,14.0,3.0,Chicago,US,41.91063,-87.67608,$$$,60622,IL
27,Chicago Vape And Smoke,Vape Shops,6760 N Sheridan Rd,6760 N Sheridan Rd,9.0,3.5,Chicago,US,42.0053399,-87.66133,$$,60626,IL
28,Pipes and Stuff XX,Tobacco Shops,1333 West Taylor St,1333 West Taylor St,14.0,3.0,Chicago,US,41.8691253662109,-87.6604537963867,$$,60607,IL
29,Smoke Times,Tobacco Shops,1850 W Division St,1850 W Division St,3.0,4.5,Chicago,US,41.903538,-87.674511,$$,60622,IL
